segment_id,street,start_latitude,start_longitude,end_latitude,end_longitude,street_norm,geometry
241,Roosevelt,41.86729,-87.64692,41.867134,-87.65668,ROOSEVELT,"LINESTRING (446312.3834738003 4635244.100603226, 445502.4338698786 4635232.884435534)"
245,Archer,41.79181,-87.80155,41.79202,-87.79158,ARCHER,"LINESTRING (433401.19860946643 4626971.910908077, 434229.9343127129 4626987.528249289)"
246,Archer,41.79202,-87.79158,41.792213,-87.78181,ARCHER,"LINESTRING (434229.9343127129 4626987.528249289, 435042.16741648514 4627001.697437272)"
252,55th,41.79298,-87.73296,41.793068,-87.72316,55TH,"LINESTRING (439101.15941456304 4627051.073729749, 439915.8002357217 4627053.91644057)"
255,87th,41.73539,-87.68252,41.735516,-87.67278,87TH,"LINESTRING (443241.7563013766 4620622.574177083, 444051.44208889105 4620630.17618399)"
256,87th,41.735516,-87.67278,41.735653,-87.66306,87TH,"LINESTRING (444051.44208889105 4620630.17618399, 444859.8653930074 4620639.1501195235)"
257,87th,41.735653,-87.66306,41.735798,-87.65334,87TH,"LINESTRING (444859.8653930074 4620639.1501195235, 445668.2914997716 4620649.062394757)"
258,87th,41.735798,-87.65334,41.73614,-87.64363,87TH,"LINESTRING (445668.2914997716 4620649.062394757, 446476.2440319712 4620681.094004949)"
259,87th,41.73614,-87.64363,41.736134,-87.62544,87TH,"LINESTRING (446476.2440319712 4620681.094004949, 447988.7817866587 4620669.095299886)"
270,87th,41.73579,-87.67278,41.735664,-87.68251,87TH,"LINESTRING (444051.68046318495 4620660.670004424, 443242.6325864437 4620653.06297253)"
271,87th,41.735928,-87.66306,41.73579,-87.67278,87TH,"LINESTRING (444860.1003237246 4620669.6439336995, 444051.68046318495 4620660.670004424)"
272,87th,41.736073,-87.653336,41.735928,-87.66306,87TH,"LINESTRING (445669.15744422807 4620679.551386488, 444860.1003237246 4620669.6439336995)"
306,Irving Park,41.953438,-87.75715,41.953323,-87.767,IRVING PARK,"LINESTRING (437248.852516352 4644883.691594429, 436432.420426397 4644878.2443539305)"
307,Irving Park,41.953556,-87.74731,41.953438,-87.75715,IRVING PARK,"LINESTRING (438064.6528648739 4644889.6617178125, 437248.852516352 4644883.691594429)"
308,Irving Park,41.953667,-87.73806,41.953556,-87.74731,IRVING PARK,"LINESTRING (438831.12236447795 4644895.303023897, 438064.6528648739 4644889.6617178125)"
311,Irving Park,41.954056,-87.708015,41.953922,-87.71781,IRVING PARK,"LINESTRING (441321.52356372186 4644917.496047847, 440509.51604527025 4644909.425983544)"
312,Irving Park,41.95411,-87.69824,41.954056,-87.708015,IRVING PARK,"LINESTRING (442131.5581207405 4644916.780006067, 441321.52356372186 4644917.496047847)"
313,Irving Park,41.95415,-87.68846,41.95411,-87.69824,IRVING PARK,"LINESTRING (442942.21324217104 4644914.880640451, 442131.5581207405 4644916.780006067)"
314,Irving Park,41.954292,-87.67876,41.95415,-87.68846,IRVING PARK,"LINESTRING (443746.6312778046 4644924.135950009, 442942.21324217104 4644914.880640451)"
324,North,41.90924,-87.765724,41.909363,-87.7558,NORTH,"LINESTRING (436494.30426298373 4639982.866049652, 437317.6333663738 4639989.117867477)"
325,North,41.909363,-87.7558,41.90949,-87.74612,NORTH,"LINESTRING (437317.6333663738 4639989.117867477, 438120.71484804066 4639996.064596896)"
326,North,41.90949,-87.74612,41.90962,-87.73627,NORTH,"LINESTRING (438120.71484804066 4639996.064596896, 438937.71705903835 4640003.405999597)"
409,79th,41.7505,-87.643974,41.750603,-87.63419,79TH,"LINESTRING (446459.6233103217 4622275.457786013, 447272.89949458465 4622280.852838397)"
410,79th,41.750603,-87.63419,41.75083,-87.62453,79TH,"LINESTRING (447272.89949458465 4622280.852838397, 448076.75965758273 4622300.385748374)"
411,79th,41.75083,-87.62453,41.751015,-87.614914,79TH,"LINESTRING (448076.75965758273 4622300.385748374, 448876.1374539022 4622314.958369651)"
412,79th,41.751015,-87.614914,41.751114,-87.605194,79TH,"LINESTRING (448876.1374539022 4622314.958369651, 449684.3253111299 4622320.240251664)"
413,79th,41.751114,-87.605194,41.751175,-87.59541,79TH,"LINESTRING (449684.3253111299 4622320.240251664, 450497.5556641188 4622321.343053696)"
414,79th,41.751175,-87.59541,41.751316,-87.5858,79TH,"LINESTRING (450497.5556641188 4622321.343053696, 451296.89010937116 4622331.527336991)"
455,79th,41.750877,-87.63419,41.750774,-87.64397,79TH,"LINESTRING (447273.1242617522 4622311.346711088, 446460.4858562695 4622305.946917312)"
554,Cermak,41.85249,-87.66594,41.8523,-87.67586,CERMAK,"LINESTRING (444721.1592401536 4633612.857773965, 443897.6891408277 4633598.113584375)"
555,Cermak,41.85268,-87.65618,41.85249,-87.66594,CERMAK,"LINESTRING (445531.32478978037 4633627.798677145, 444721.1592401536 4633612.857773965)"
567,Cicero,41.784317,-87.74123,41.793034,-87.7418,CICERO,"LINESTRING (438406.35539521603 4626095.123609277, 438367.15656689805 4627063.299420799)"
568,Cicero,41.793034,-87.7418,41.80034,-87.742805,CICERO,"LINESTRING (438367.15656689805 4627063.299420799, 438290.49055144016 4627875.082757216)"
569,Cicero,41.80034,-87.742805,41.807625,-87.74296,CICERO,"LINESTRING (438290.49055144016 4627875.082757216, 438284.8066557421 4628684.136516716)"
